,Times,Nome dos jogadores,Apelidos dos jogadores,Quantos gols foram marcados no campeonato,Ano do campeonato,Sub
0,Santos - SP,Weslley Pinto Batista,Weslley,9,2023,Sub-20
1,Flamengo - RJ,Petterson Novaes Reis,Petterson,7,2023,Sub-20
2,Palmeiras - SP,Daniel da Silva,Daniel,6,2023,Sub-20
3,Palmeiras - SP,Kevin Santos Lopes de Macedo,Kevin,6,2023,Sub-20
4,Santos - SP,Fernando Paiva Correa,Fernando,5,2023,Sub-20
5,Cruzeiro Saf - MG,Denilson Chaves Goulart,Denilson Goulart,5,2023,Sub-20
6,Athletico Paranaense - PR,Felipe Chiqueti Bandeira,Chiqueti,5,2023,Sub-20
7,Cruzeiro Saf - MG,Luis Fernando Santos Oliveira,Luis Fernando,5,2023,Sub-20
8,Red Bull Bragantino - SP,Gabriel Amaral Ferreira Guimaraes,Gabriel,4,2023,Sub-20
9,Atlético Mineiro - MG,Victor Hugo da Silva Costa,Vitinho,4,2023,Sub-20
10,Palmeiras - SP,Jose Romualdo Pedro Junior,Juninho,4,2023,Sub-20
11,America Fc S.a.f. - MG,Renato Marques de Oliveira Junior,Renato,4,2023,Sub-20
12,Palmeiras - SP,Pedro Lima Barros,Pedro Lima,4,2023,Sub-20
13,São Paulo - SP,Gabriel Maioli da Silva,Gabriel,4,2023,Sub-20
14,America Fc S.a.f. - MG,Rodrigo Santos Varanda,Rodrigo Varanda,4,2023,Sub-20
