,Time,Pontos,Jogos,Vitorias,Empates,Derrotas,Gols Pró,Gols Contra,Saldos de gols,Porcentagem,Cartões Amarelos,Cartões Vermelhos,Ultimos resultados,Média de gols
0,Corinthians - SP,37,15,12,1,2,53,8,45,82,30,1,,3.533333333333333
1,Palmeiras - SP,35,15,11,2,2,48,14,34,77,35,0,,3.2
2,Ferroviaria S.a.f. - SP,34,15,11,1,3,38,16,22,75,42,4,,2.533333333333333
3,Santos - SP,32,15,10,2,3,32,10,22,71,37,1,,2.1333333333333333
4,Flamengo - RJ,31,15,10,1,4,23,14,9,68,33,0,,1.5333333333333334
5,Internacional - RS,28,15,9,1,5,25,16,9,62,35,2,,1.6666666666666667
6,São Paulo - SP,25,15,7,4,4,27,13,14,55,26,0,,1.8
7,Cruzeiro Saf - MG,22,15,6,4,5,36,26,10,48,35,3,,2.4
8,Grêmio - RS,19,15,6,1,8,16,22,-6,42,40,1,,1.0666666666666667
9,Kindermann - SC,19,15,6,1,8,25,33,-8,42,33,1,,1.6666666666666667
10,Real Brasília - DF,17,15,5,2,8,16,24,-8,37,35,1,,1.0666666666666667
11,Atlético Mineiro - MG,16,15,5,1,9,17,23,-6,35,43,3,,1.1333333333333333
12,Bahia - BA,13,15,4,1,10,25,33,-8,28,36,3,,1.6666666666666667
13,Athletico Paranaense - PR,10,15,3,1,11,15,33,-18,22,41,4,,1.0
14,Real Ariquemes - RO,9,15,3,0,12,10,54,-44,20,42,5,,0.6666666666666666
15,Ceará - CE,1,15,0,1,14,7,74,-67,2,35,4,,0.4666666666666667
