,Time,Pontos,Jogos,Vitorias,Empates,Derrotas,Gols Pró,Gols Contra,Saldos de gols,Porcentagem,Cartões Amarelos,Cartões Vermelhos,Ultimos resultados,Grupo de times,Média de gols
0,Flamengo - RJ,21,9,7,0,2,16,11,5,77,28,1,,Grupo A,1.7777777777777777
1,Corinthians - SP,18,9,5,3,1,20,11,9,66,25,1,,Grupo A,2.2222222222222223
2,Internacional - RS,14,9,3,5,1,15,12,3,51,27,3,,Grupo A,1.6666666666666667
3,Botafogo - RJ,13,9,4,1,4,12,11,1,48,23,0,,Grupo A,1.3333333333333333
4,Atlético Mineiro - MG,13,9,4,1,4,11,12,-1,48,23,1,,Grupo A,1.2222222222222223
5,America Fc S.a.f. - MG,12,9,4,0,5,12,10,2,44,29,0,,Grupo A,1.3333333333333333
6,Cuiabá Saf - MT,11,9,3,2,4,10,10,0,40,20,4,,Grupo A,1.1111111111111112
7,Fluminense - RJ,11,9,2,5,2,13,12,1,40,23,0,,Grupo A,1.4444444444444444
8,Ceará - CE,10,9,3,1,5,11,15,-4,37,28,7,,Grupo A,1.2222222222222223
9,Red Bull Bragantino - SP,2,9,0,2,7,11,27,-16,7,30,5,,Grupo A,1.2222222222222223
0,Palmeiras - SP,18,9,6,0,3,22,12,10,66,30,3,,Grupo B,2.4444444444444446
1,Santos - SP,18,9,5,3,1,27,18,9,66,21,0,,Grupo B,3.0
2,Grêmio - RS,17,9,5,2,2,16,11,5,62,27,0,,Grupo B,1.7777777777777777
3,Athletico Paranaense - PR,17,9,5,2,2,16,13,3,62,27,1,,Grupo B,1.7777777777777777
4,Bahia - BA,14,9,4,2,3,14,12,2,51,1,0,,Grupo B,1.5555555555555556
5,Cruzeiro Saf - MG,14,9,4,2,3,23,22,1,51,27,0,,Grupo B,2.5555555555555554
6,Fortaleza - CE,12,9,4,0,5,7,12,-5,44,15,2,,Grupo B,0.7777777777777778
7,Goiás - GO,10,9,3,1,5,9,14,-5,37,49,1,,Grupo B,1.0
8,São Paulo - SP,7,9,2,1,6,11,15,-4,25,24,6,,Grupo B,1.2222222222222223
9,Atlético - GO,1,9,0,1,8,9,25,-16,3,26,6,,Grupo B,1.0
